img,time,lat,lon,dir,blart_txt,other_txt,bold,eyes,nose,simpson,spray,main_col,black,pink,blue,yellow,red,green,white,base,base_mat,private_prop,new_img_req,unsure,notes
IMG_7005.jpg,2026:03:11 18:30:53,62.599372,29.755517,98.2,True,,True,True,True,True,True,pink,False,True,False,False,False,False,False,autokatos,tiili,True,False,False,
IMG_6864.jpg,2026:02:28 17:44:28,62.596036,29.769353,319.3,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,autokatos,metalli,True,False,False,
IMG_6858.jpg,2026:02:28 17:26:34,62.589986,29.770111,78.42,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6904.jpg,2026:03:01 17:27:25,62.607758,29.760589,159.82,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7171.jpg,2026:03:20 16:57:34,62.591317,29.7731,324.23,False,BIDEN IS A OLD SENILE!,False,True,True,True,False,blue,False,False,True,False,False,False,False,alikulku,metalli,False,False,False,kulunut
IMG_7165.jpg,2026:03:20 16:37:57,62.594775,29.784314,247.62,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7170.jpg,2026:03:20 16:56:48,62.59125,29.772725,147.6,True,.,False,False,False,False,True,yellow,False,False,False,True,False,False,False,alikulku,metalli,False,False,False,
IMG_6865.jpg,2026:02:28 17:44:59,62.596172,29.769464,24.25,True,,False,True,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,True,False,
IMG_7004.jpg,2026:03:11 18:29:35,62.599136,29.754628,117.48,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7394.jpg,2026:04:05 16:27:40,62.594453,29.77655,291.45,True,,False,True,False,False,True,black,True,False,False,False,False,False,False,muu,betoni,False,False,False,
IMG_7422.jpg,2026:04:06 16:34:40,62.596172,29.768897,33.36,True,,False,True,False,False,True,pink,False,True,False,False,False,False,False,silta,betoni,False,False,False,
IMG_7421.jpg,2026:04:06 16:31:30,62.596233,29.770825,315.01,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,ovi,metalli,False,False,False,
IMG_7390.jpg,2026:04:05 16:14:12,62.586308,29.799708,242.15,False,,False,True,False,True,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_7389.jpg,2026:04:05 16:14:05,62.586497,29.800464,250.68,True,,False,True,True,True,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
